state_id,seed,config_id,sampling_rate_us,threshold_pct,frequency_bin_id,frequency_khz,regret,delta_vs_ondemand,exact_oracle,freq_expert_khz,freq_measured_khz,freq_err_vs_expert_khz,freq_err_vs_measured_khz,freq_legal
x86@10,7,0,10000,75,12,1815625.0,0.0,-0.26278251009346787,True,1732412.9781355641,1599860.0,83212.02186443587,215765.0,True
x86@10,42,0,10000,75,11,1734375.0,0.0,-0.26278251009346787,True,1732412.9781355641,1599860.0,1962.0218644358683,134515.0,True
x86@10,123,0,10000,75,13,1896875.0,0.0,-0.26278251009346787,True,1732412.9781355641,1599860.0,164462.02186443587,297015.0,True
x86@20,7,0,10000,75,9,1571875.0,0.0,-0.23262469416174458,True,1839140.051946152,1824630.0,267265.051946152,252755.0,True
x86@20,42,0,10000,75,12,1815625.0,0.0,-0.23262469416174458,True,1839140.051946152,1824630.0,23515.051946152,9005.0,True
x86@20,123,0,10000,75,13,1896875.0,0.0,-0.23262469416174458,True,1839140.051946152,1824630.0,57734.948053848,72245.0,True
x86@30,7,0,10000,75,14,1978125.0,0.0,-0.21557846987729556,True,1935870.3644690872,1921505.0,42254.63553091278,56620.0,True
x86@30,42,0,10000,75,11,1734375.0,0.0,-0.21557846987729556,True,1935870.3644690872,1921505.0,201495.36446908722,187130.0,True
x86@30,123,0,10000,75,13,1896875.0,0.0,-0.21557846987729556,True,1935870.3644690872,1921505.0,38995.36446908722,24630.0,True
x86@40,7,0,10000,75,9,1571875.0,0.0,-0.15146372479504433,True,1980459.7717289822,1966860.0,408584.7717289822,394985.0,True
x86@40,42,0,10000,75,14,1978125.0,0.0,-0.15146372479504433,True,1980459.7717289822,1966860.0,2334.7717289822176,11265.0,True
x86@40,123,0,10000,75,15,2059375.0,0.0,-0.15146372479504433,True,1980459.7717289822,1966860.0,78915.22827101778,92515.0,True
x86@50,7,0,10000,75,14,1978125.0,0.15137091445632644,-0.009764976903844702,False,2006103.4121803883,1998135.0,27978.412180388346,20010.0,True
x86@50,42,0,10000,75,14,1978125.0,0.15137091445632644,-0.009764976903844702,False,2006103.4121803883,1998135.0,27978.412180388346,20010.0,True
x86@50,123,0,10000,75,14,1978125.0,0.15137091445632644,-0.009764976903844702,False,2006103.4121803883,1998135.0,27978.412180388346,20010.0,True
x86@60,7,44,90000,95,14,1978125.0,0.03690439625081243,-0.0700121437034058,False,2008265.6239152062,2014085.0,30140.623915206175,35960.0,True
x86@60,42,44,90000,95,14,1978125.0,0.03690439625081243,-0.0700121437034058,False,2008265.6239152062,2014085.0,30140.623915206175,35960.0,True
x86@60,123,44,90000,95,14,1978125.0,0.03690439625081243,-0.0700121437034058,False,2008265.6239152062,2014085.0,30140.623915206175,35960.0,True
x86@70,7,35,80000,75,14,1978125.0,0.041029989586300886,-0.14123836730292683,False,2034597.6264306223,2035415.0,56472.6264306223,57290.0,True
x86@70,42,35,80000,75,14,1978125.0,0.041029989586300886,-0.14123836730292683,False,2034597.6264306223,2035415.0,56472.6264306223,57290.0,True
x86@70,123,35,80000,75,14,1978125.0,0.041029989586300886,-0.14123836730292683,False,2034597.6264306223,2035415.0,56472.6264306223,57290.0,True
x86@80,7,45,100000,75,15,2059375.0,0.010279053664434379,-0.19506000973191595,False,2052928.6988644656,2053795.0,6446.301135534421,5580.0,True
x86@80,42,45,100000,75,15,2059375.0,0.010279053664434379,-0.19506000973191595,False,2052928.6988644656,2053795.0,6446.301135534421,5580.0,True
x86@80,123,45,100000,75,15,2059375.0,0.010279053664434379,-0.19506000973191595,False,2052928.6988644656,2053795.0,6446.301135534421,5580.0,True
x86@90,7,32,70000,85,14,1978125.0,0.1349985140845935,-0.015897693359876675,False,2071028.4831908664,2072260.0,92903.48319086642,94135.0,True
x86@90,42,32,70000,85,15,2059375.0,0.1349985140845935,-0.015897693359876675,False,2071028.4831908664,2072260.0,11653.48319086642,12885.0,True
x86@90,123,32,70000,85,14,1978125.0,0.1349985140845935,-0.015897693359876675,False,2071028.4831908664,2072260.0,92903.48319086642,94135.0,True
x86@100,7,13,30000,90,15,2059375.0,0.12294908448766173,-0.7586312261982967,False,2080335.4162944297,2077145.0,20960.416294429684,17770.0,True
x86@100,42,39,80000,95,10,1653125.0,0.8732810180013677,-0.597353478846917,False,2079686.6428098304,2078765.0,426561.6428098304,425640.0,True
x86@100,123,39,80000,95,15,2059375.0,0.8732810180013677,-0.597353478846917,False,2079686.6428098304,2078765.0,20311.642809830373,19390.0,True
