policy,mean_regret,median_regret,worst_regret,exact_oracle_rate,within_5pct_oracle,mean_delta_vs_ondemand,better_than_ondemand,seed_std_mean_regret
Oracle,0.0,0.0,0.0,1.0,1.0,-0.2401852999741152,1.0,
PCHIP Teacher,0.0692685059937527,0.03896719291855666,0.19515310740739755,0.3,0.6,-0.19091835321374773,1.0,
Optuna-DDQN t15,0.09977532415392669,0.023591724957623406,0.6326443168196872,0.4000000000000001,0.6999999999999998,-0.1945535317893566,1.0,0.03537098655522369
MLP Configuration Student,0.12478638860438354,0.023591724957623406,0.8732810180013677,0.4,0.7,-0.18917760687764393,1.0,
Optuna-DDQN t4,0.12478638860438356,0.023591724957623406,0.8732810180013676,0.4000000000000001,0.6999999999999998,-0.18917760687764393,1.0,1.3877787807814457e-17
Linux Ondemand,0.5663709076232983,0.23367208696659947,3.6524207203796033,0.0,0.0,0.0,0.0,
